Day,Marvel Comics: (United States),DC Comics: (United States)
9/3/22,44,65
9/4/22,51,66
9/5/22,46,70
9/6/22,46,55
9/7/22,43,51
9/8/22,42,66
9/9/22,59,65
9/10/22,78,54
9/11/22,76,64
9/12/22,64,50
9/13/22,45,48
9/14/22,51,57
9/15/22,34,56
9/16/22,43,50
9/17/22,49,58
9/18/22,54,73
9/19/22,42,44
9/20/22,50,45
9/21/22,41,41
9/22/22,50,51
9/23/22,59,55
9/24/22,55,44
9/25/22,51,59
9/26/22,45,50
9/27/22,45,55
9/28/22,43,56
9/29/22,49,58
9/30/22,39,41
10/1/22,53,43
10/2/22,47,52
10/3/22,49,54
10/4/22,43,53
10/5/22,49,47
10/6/22,45,44
10/7/22,55,59
10/8/22,57,57
10/9/22,64,60
10/10/22,52,57
10/11/22,41,56
10/12/22,44,44
10/13/22,52,55
10/14/22,48,56
10/15/22,52,56
10/16/22,48,60
10/17/22,44,57
10/18/22,43,61
10/19/22,36,53
10/20/22,37,64
10/21/22,40,72
10/22/22,45,100
10/23/22,45,75
10/24/22,49,71
10/25/22,44,74
10/26/22,54,75
10/27/22,48,52
10/28/22,40,61
10/29/22,49,80
10/30/22,54,80
10/31/22,43,54
11/1/22,31,68
11/2/22,52,50
11/3/22,31,58
11/4/22,36,50
11/5/22,67,71
11/6/22,47,69
11/7/22,38,63
11/8/22,37,54
11/9/22,35,52
11/10/22,42,54
11/11/22,53,58
11/12/22,72,56
11/13/22,61,58
11/14/22,61,53
11/15/22,45,47
11/16/22,43,49
11/17/22,38,54
11/18/22,38,53
11/19/22,35,66
11/20/22,47,68
11/21/22,35,58
11/22/22,43,55
11/23/22,45,62
11/24/22,56,69
11/25/22,44,64
11/26/22,50,57
11/27/22,53,65
11/28/22,42,42
11/29/22,49,62